 ?enkova I.," Institute of Translation Studies, Charles University in Prague, Czech Republic"
 Gal A.," University of California, Irvine, United States"
 Galanis P.," Alexandreio Technological Educational Institute, Department of Nursing, Thessaloniki, Greece"
 Gallagher J.," Academic Department of Rehabilitation Medicine, University of Leeds, Leeds, United Kingdom"
 Gallagher J.J.," NewYork-Presbyterian Weill Cornell Medical Center, New York, NY, United States"
 Gallai F.," University of Bath, United Kingdom"
 Gallegos J.," Escuela Superior de Psicolog’a, Ciudad Ju‡rez, Chihuahua, Mexico"
 Gallinat J.," Max-Planck-Institute for Human Development, Center for Lifespan Psychology, Lentzeallee 94, Berlin, Germany"
 Gamulin M.," Zagreb University Hospital, Zagreb, Croatia"
 Gany F.M.," Department of Medicine, Memorial Sloan-Kettering Cancer Center, New York, NY, United States"
 Ganz P.A.," Geffen School of Medicine at UCLA, UCLA Department of Medicine, Division of General Internal Medicine and Health Services Research, Los Angeles, CA, United States"
 Gao W.," Inst. of Comp. Technol., Chinese Acad. of Sci., Beijing 100080, China"
 Garc’a D.," University of California, United States"
 Garc’a D.," San Diego State University, United States"
 Garcia E.V.," Diagram Consulting, Kihei, HI, United States"
 Gardin J.M.," St John Medical Center, Detroit, MI, United States"
 Gazzaniga M.S.," University of California, Santa Barbara, CA, United States"
 Gehrels W.R.," Department of the Environment, University of York, Heslington, York, United Kingdom"
 Genevois A.," Service de Radiologie, H™pital Charles Nicolle, 1, rue de Germont, 76031 Rouen Cedex, France"
 Genoff M.," Department of Healthcare Policy and Research, Weill Cornell Medical Center, New York, NY, United States"
 Genton L.," Synarc Inc., Copenhagen, Denmark"
 George J.N.," Hematology-Oncology Section, Department of Medicine, University of Oklahoma Health Sciences Center, Oklahoma City, OK, United States"
 GÌ_thlin J.H.," Department of Radiology, Sahlgrenska University Hospital, Gothenburg, Sweden"
 Giannoulis C.," Department of Environmental and Natural Resource Management, University of Ioannina, University of the Aegean, Mytilene, Greece"
 Giardino A.P.," Texas Children's Health Plan andBaylor College of Medicine, Houston, TX, United States"
 Gibson Jr. C.D.," Design Specialists, Mountain View, CA, United States"
 Giger M.L.," University of Chicago, Department of Radiology, 5841 S. Maryland Avenue, Chicago, IL, United States"
 Gignac M.," Institute for Work and Health, University of Toronto, Canada"
 Gilbert A.," Flinders University, GPO Box 2100, Adelaide, SA 5001, Australia"
 Gildengorin G.," Office of Public Health Studies, University of Hawaii at Manoa, Honolulu, HI, United States"
 Gile D.," Universit_ Sorbonne Nouvelle, Paris 3, France"
 Ginossar T.," University of New Mexico, Albuquerque, NM, United States"
 Ginsburg I.F.," Department of Geriatric Psychiatry, Beth Israel Medical Center, First Ave 16th Street 6K40, New York, NY 10003, United States"
 Ginsburgh V.," University of Brussels, Belgium"
 Giovanni M.A.," Simul Consult, Chestnut Hill, MA, United States"
 Gisy S.," Endress+Hauser Japan, Key Accounts and Project, Fuchu, Japan"
 Gittins R.," Centre for Translation Studies, University of Surrey, Guildford, United Kingdom"
 Gizbar M.," The Westmead Millennium Institute for Medical Research, Sydney, Australia"
 Glancy D.L.," Departments of Physiology and Pharmacology, LSU Health Sciences Center, New Orleans, LA, United States"
 Glatz E.," University Hospital Basel, Switzerland"
 Glick H.A.," Division of General Internal Medicine, Hospital of the University of Pennsylvania, Philadelphia, PA, United States"
 GlŸck R.," Graduate School of Information Science and Technology, University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, 113-8656 Tokyo, Japan"
 Godtliebsen F.," IBM T.J. Watson Research Center, Yorktown, NY, United States"
 Godwin M.," Department of Family Medicine, Queen's University, Kingston, Ont., Canada"
 Goetz J.," Laboratoire d'immunologie, H™pitaux Universitaires de Strasbourg, 1, place de l'H™pital, Strasbourg Cedex, France"
 Gohdes D.," Department of Family and Community Medicine, MSC 09 5040, 1 University of New Mexico, Albuquerque, NM 87131, United States"
 Goldblatt D.," Immunobiology Unit, Institute of Child Health, London, United Kingdom"
 Goldman R.E., University of California San Diego San Diego USA
 Goldstein D.," Dept. Medical Oncology, Prince of Wales Hospital, NSW, Australia"
 Gonz‡lez I.A.," Department Executive Officer, University Clinic of Navarre, Pamplona, Spain"
 Gonz‡lez M.," University of Texas, United States"
 Gonz‡lez M.," University of Texas, United States"
 Gonz‡lez P.," Department of Radiochemistry, Higher Institute of Technology and Applied Sciences (InSTEC), Havana, Cuba"
 Gonzalez E.E.," Department of Ambulatory Care and Prevention, Harvard Medical School, Children's Hospital, Boston, MA, United States"
 Gonzalez J.," Mount Sinai School of Medicine, New York, NY, United States"
 Gonzalez J.J.," Applied Spectra, Inc., Fremont, CA, United States"
 Good P.," Department of Palliative and Supportive Care Mater Health Services Brisbane, QLD Australia"
 Goodarzi A.," General Motors Company, Global Research and Development, Warren, United States"
 Goodman M.," Department of Pediatrics, Penn State University College of Medicine, Milton S. Hershey Medical Center, United States"
 Gorduysus M.O.," Department of Endodontics, Faculty of Dentistry, Hacettepe University, Ankara, Turkey"
 Goswell D.," Community Services Department, Western Australian Deaf Society, Perth, WA, Australia"
 Gottdiener J.S.," University of Maryland, Baltimore, MA, United States"
 Goulart B.H.," Hematology Division, University of Washington Medical Center, Seattle, WA, United States"
 Gould-Kabler C.," Center for Public Service Communication, Arlington, VA, United States"
 Gouvêa M.M.," Programa de Pos-Graduacao em Quimica, Instituto de Quimica, Universidade Federal Fluminense, Outeiro de Sao Joao Batista, s/n, 24020-141, Centro, Niteroi, RJ, Brazil"
 Gouwens D.," Orthopaedics, Erasmus Medical Center, Rotterdam, Netherlands"
 Gramma R.," Center for Ethics and Health Policy, University of Medicine and Pharmacy Gr.T. Popa, Iasi, Romania"
 Gran B.," Istituto di Fisiologia, Universitˆ di Trieste, Trieste, Italy"
 Gran L.," Scuola Superiore di Lingue Moderne per Interpreti e Traduttori, Universitˆ di Trieste, Trieste, Italy"
 Gran L.," Scuola Superiore di Lingue Moderne per Interpreti e Traduttori, Universitˆ di Trieste, Italy"
 Grant S.," University of British Columbia, Canada"
 Grass M.," Universit_ de Lyon, CREATIS, Lyon, France"
 Grass M.," Philips Research, R_ntgenstrasse 24-26, D-22335 Hamburg, Germany"
 Greenberg S.F.," Forensic Services, Springfield Hospital Center, United States"
 Greenfield S.," Center for Survey Research, University of Massachusetts-Boston, Boston, MA, United States"
 Greenland S.," Department of Epidemiology, Department of Statistics, University of California, Los Angeles, CA, United States"
 Gregg D.," Department of Computer Science, University of Dublin, Trinity College, Dublin 2, Ireland"
 Gregg D.," Department of Computer Science, Trinity College, Dublin 2, Ireland"
 Gregg D.," Trinity College, Dublin, United Kingdom"
 Gregg D.," Trinity College, Dublin, Ireland"
 Gregg D.,"e 8, A-1040 Wien, Austria"
 Gregory C.D.," MRC Centre for Inflammation Research, University of Edinburgh, Hugh Robson Building, George Square, Edinburgh EH8 9XD, United Kingdom"
 Grey M.," Joggins Fossil Centre, 100 Main Street, Joggins, NS, Canada"
 Grigull J.," Dept. of Medical Genetics/Microbiol., University of Toronto, Toronto, Ont., Canada"
 Grosch-Ott S.," Department of Anesthesiology and Operative Intensive Care Medicine, CBF, Charit_-Universit_tsmedizin Berlin, Berlin, Germany"
 Grossi A.B.," V_xa Sverige, Flen, Sweden"
 Grossman P.," Arztpraxis, Basel, Switzerland"
 Grubb A.," Centre of Medical Ethics and Law, School of Medicine, K.U. Leuven, Kapucijnenvoer 35, 3000 Leuven, Belgium"
 Guarnera G.C.," Humanitas Centro Catanese di Oncologia, Catania, Italy"
 Guex P.," Liaison Psychiatry Service, Adult Psychiatry Department, University of Lausanne Hospital, CH-1011 Lausanne, Switzerland"
 Gugenmus C.," Strand Life Sciences, Bangalore, India"
 Guillaume J.-C.," Service de Dermatologie, H™pital Pasteur, 39, avenue de la Libert_, 68770 Colmar Cedex, France"
 Guion K.W.," Medical College of Georgia, Augusta, GA, United States"
 Guns E.S.," School of Life and Environmental Sciences, Deakin University, Geelong, Victoria, Australia"
 Gupta D.," Yale University, United States"
 Gurgel T.M.A.," Secretaria Municipal de Educaç‹o de Campinas, Brazil"
 Gutierrez Y.R.," Keck School of Medicine at University of Southern California, United States"
 Guzm‡n-V_lez E.," Semel Institute for Neuroscience and Human Behavior, University of California, Los Angeles, United States"
 Gu_ry F.," Department of Languages, Information and Communications, Manchester Metropolitan University, United Kingdom"
 Haabeth A.-L.," Psykiatrisk Sykepleiertjeneste, Kommunehelsetjenesten I S¿r-Varanger, 9900 Kirkenes, Norway"
 Haarmann H.J.," University of Maryland, United States"
 Haas A.," University of Michigan Medical School, Ann Arbor, MI, United States"
 Hadley M.," Arcis Corporation, Canada"
 Haffmans J.P.M.," Leiden Institute for Brain and Cognition, Leiden University Medical Center, Leiden, Netherlands"
 Hagi Salaad M.F.," Mayo Clinic, Rochester, MN, United States"
 Haglund B.," V_stmanland County Hospital, Centre for Clinical Research, V_sterŒs, Sweden"
 Hahn A.," Institute for Systems Biology, Seattle, WA, United States"
 Haig T.," Concordia University, Canada"
 Hainsworth P.," Oxford University, United Kingdom"
 Halford K.," U. S. Geological Survey, Carson City, NV, United States"
 Hamb_ck P.A.," Department of Botany, Stockholm University, Stockholm, Sweden"
 Hammer C.," Fondazione Santa Lucia, Laboratorio di Neuropsichiatria, Roma, Italy"
 Hammer C.," Fondazione Santa Lucia, Laboratorio di Neuropsichiatria, Rome, Italy"
 Hammer S.M.," University of Colorado Health Sciences Center, Denver, CO, United States"
 Han C.," School of Humanities and Communication Arts, University of Western Sydney, Locked Bag 1797, Penrith, NSW, Australia"
 Han C.-H.," Department of Nursing, Institute of Allied Health Science, National Cheng Kung University/Hospital"
 Hancock B.W.," Indiana University, South Bend, IN, United States"
 Handsaker R.E.," Geisinger Health System, Danville, PA, United States"
 Hansen E.," Marion General Hospital, 1000 McKinley Park Drive, Marion, OH 43302, United States"
 Hanson L.Å.," Department of Clinical Immunology, University of G_teborg, G_teborg, Sweden"
 Hansson H.-A.," Dept. of Anatomy and Cell Biology, University of G_teborg, 40530 G_teborg, Sweden"
 Hao E.," Department of Pediatrics, University of California San Diego, San Diego, CA, United States"
 Hargrave J.," University of Louisiana, Lafayette, LA, United States"
 Harmegnies F.," Universit_ P. et M. Curie, UA CNRS 117, Observ. Oceanologique de Banyuls, 66650 Banyuls-sur-mer, France"
 Harper C.," Laboratory animal veterinarian, Boston, MA, United States"
 Harris A.C.," Department of Medicine, University of Minnesota, Minneapolis, MN, United States"
 Harris K.," Odette Cancer Centre, 2075 Bayview Avenue, Toronto, ON M4N 3M5, Canada"
 Harris R.," College of Education, University of Washington, Seattle, WA, United States"
 Hartemann P.," Unit_ R_gionale d'Accueil et Soins pour Sourds, Centre Hospitalo-Universitaire de Nancy, 9, rue Foller, Nancy, France"
 Hasanpoor J.," Faculty of Health and Caring Science, G_teborg University, G_teborg, Sweden"
 Hashimoto T.," DIKU, Department of Computer Science, University of Copenhagen, Copenhagen, Denmark"
 Hasnain R.," Heartland Human Care Services, Inc., Chicago, IL, United States"
 Hauser A.B.," Department of Brain and Cognitive Sciences, University of Rochester, Rochester, NY, United States"
 Hauser P.C.," Department of Research and Teacher Education, National Technical Institute, Deaf Rochester Institute of Technology, Rochester, NY, United States"
 Hayden G.F.," Department of Pediatrics, University of Virginia, United States"
 Hayes L.," Eastern Kentucky University, United States"
 Hayes R.," Emory Univ. Ctr. Clin. Eval. Sci., Emory University, Kerr L. White Inst. Hlth. Serv. Res., Decatur, GA, United States"
 Hazelton P.A.," University of New South Wales, Sydney, NSW 2052, Australia"
 Hazewinkel H.A.W.," Clinical Sciences of Companion Animals, Faculty of Veterinary Medicine, Utrecht University, Utrecht, Netherlands"
 He H.-B.," China Nuclear Power Technology Research Institute, Shenzhen 518026, China"
 He S.-Y.," National University of Tainan, Taiwan"
 Hebert E.," World Relief, Dupage/Aurora, IL, United States"
 Heckscher R.," Department of Family Medicine and Community Health, Tufts University, School of Medicine, United States"
 Hegarty M.K.," Centre for Health Services Research, School of Population Health, University of Western Australia, Perth, Australia"
 Hegedus B.," MTA-SE Molecular Oncology Research Group, Hungarian Academy of Sciences, Budapest, Hungary"
 Heikkil_ K.," School of Health and Caring Sciences, Linnaeus University, V_xj_, Sweden"
 Hellstr_m M.," Department of Radiology, Institute of Clinical Sciences, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden"
 Hellstr_m M.," Faculty of Health and Caring Science, Sahlgrenska Academy, G_teborg University"
 Helmcke F.," Heart Clinic of Louisiana, Marrero, LA, United States"
 Henry J.W.," Department of Radiology, Michigan State University, East Lansing, MI, United States"
 Henzlova M.J.," Mount Sinai Medical Center, New York, NY, United States"
 Her_ak E.," Department of Antropology, University of Zagreb, Croatia"
 Hereford M.," ICU, Saint Alphonsus Regional Medical Center, Bosse, ID, United States"
 Hermans D.," Royal Dutch Kentalis Sint Michielsgestel and Behavioural Science Institute, Radboud University Nijmegen, Netherlands"
 Hermans D.," Royal Dutch Kentalis, Sint-Michielsgestel, Netherlands"
 Hermesen C.B.," Department of General Dentistry, Univ. Texas Hlth. Sci. Ctr. S. A., 7703 Floyd Curl Drive, San Antonio, TX 78284-7914, United States"
 Hernandez P.M.," Frances Nelson Community Health Center, Champaign, IL, United States"
 Hernandez R.G.," Department of Pediatrics, Johns Hopkins School of Medicine, Baltimore, MD, United States"
 Hertog E.," Department of Experimental Psychology, Ghent University, Belgium"
 Herwidodo E.P.," Department of Electrical Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia"
 Hessmann J.," Magdeburg-Stendal University of Applied Sciences, Magdeburg, Germany"
 Heusel J.W.," Pearlgen, Inc, Durham, NC, United States"
 Hewitt W.E.," National Center for State Courts, United States"
 Hickey D.P.," University of Toledo, College of Medicine, 3000 Arlington Avenue, Toledo, OH 43614, United States"
 Hicks N.R.," Dept. of Pub. Hlth. and Hlth. Policy, Oxfordshire Health Authority, Old Road, Headington, Oxford OX3 7LG, United Kingdom"
 Hiebl B.," Centre for Medical Basic Research, Martin-Luther-University Halle-Wittenberg, Halle/Saale, Germany"
 Hilder J.," Porirua Union and Community Health Service Inc., 221 Bedford Street, Cannons Creek, Porirua 5024, New Zealand"
 Hilfinger Messias D.K.," College of Nursing and Women's and Gender Studies, University of South Carolina, Columbia, SC, United States"
 Hill L.," Alliance for Community Research and Development, Merced, CA, United States"
 Hill N.R.," Department of Counseling, Idaho State University, United States"
 Hillings¿ J.G.," Department of Surgery and Transplantation, Rigshospitalet, Copenhagen, Denmark"
 Hindberg K.," Department of Mathematics and Statistics, University of Troms¿, Troms¿, Norway"
 Hinds P.," Department of Biostatistics, St. Jude Children's Research Hospital, Memphis, TN, United States"
 Hinton E.," Bilingo LLC, Goose Creek, SC, United States"
 Hjelm K.," Department of Social and Welfare Studies, Linkoping University, Link_ping, Sweden"
 Hjelm K.," School of Health and Caring Sciences, Linnaeus University, V_xj_, Sweden"
 Hobbs J.," C.A.R.E. Women and Children Clinic, Saint Alphonsus Regional Medical Center, Bosse, ID, United States"
 Hobrecker K.," Institute for Health Policy, Massachusetts General Hospital, Boston, MA, United States"
 Hobson K.A.," Canadian Wildlife Service, 115 Perimeter Road, Saskatoon, Sask. S7N 0X4, Canada"
 Hodgetts G.," Health Services, Laurentian University, Sudbury, Ont., Canada"
 Hodgetts J., United States
 Hoekstra A.," Albany Law School, Albany, NY, United States"
 Hoeppner V.," Department of Medicine, University of Saskatchewan, Saskatoon, SK, Canada"
 Hofer G.," Angewandte Linguistik, ZŸricher Hochschule fŸr Angewandte Wissenschaften, ZŸrich, Switzerland"
 Hofer G.," ZŸrich University of Applied Sciences, School of Applied Linguistics, ZŸrich, Switzerland"
 Hoffmann K.," Staatsbetrieb Sachsenforst, Kompetenzzentrum fŸr Wald, Forstwirtschaft Referat FGIS, Kartografie, Bonnewitzer-Strasse 34, Vermessung, D-01796 Pirna, OT Graupa, Germany"
 Hohenstein C.," ZHAW Zurich University of Applied Sciences, School of Applied Linguistics, Switzerland"
 Hohenstein C.," ZHAW Zurich University of Applied Sciences, School of Applied Linguistics, Switzerland"
 Holben W.E.," Montana-Ecology of Infectious Diseases Program, University of Montana, Missoula, MT, United States"
 Holborn G.," Ont. Ministry of Natural Resources, Natural Resource Centre, 25th Side-Road, Thunder Bay, Ont. P7C 4T9, Canada"
 Holcroft C.," Centre for Epidemiology and Community Studies, Jewish General Hospital, McGill University, Montreal, QC, Canada"
 Hollema H.," Dept. of Gastroenterol. and Hepatol., University Hospital, PO Box 30.001, 9700 RB Groningen, Netherlands"
 Holm I.A.," Department of Medical Genetics, Children's Hospitals and Clinics of Minnesota, Minneapolis, MN, United States"
 HOLMES K.K.," Center for AIDS and STD, University of Washington, Seattle, Washington, 98122, United States"
 Holmes L.J.," Marquette University, Milwaukee, WI, United States"
 Holt R.," Institute of Psychological Science, University of Leeds, Woodhouse Lane, Leeds LS2 9JT, United Kingdom"
 Holzinger A.," Research Unit Human-Computer Interaction, Institute for Medical Informatics, Statistics and Documentation, Medical University Graz, Graz, Austria"
 Holzinger A.," Institute for Information Systems and Computer Media, Graz University of Technology, Inffeldgasse 16c, Graz 8010, Austria"
 Home R.N.," SPE, Stanford University, United States"
 Homer N.," Life Technologies, Carlsbad, CA, United States"
 Hong S.B.," Department of Neurology, Pusan National University Yangsan Hospital, Medical Research Institute, Pusan, South Korea"
 Hor‡nyi M.," Max-Planck-Institute for Extraterrestrial Physics, Giessenbachstrasse, D-85748 Garching, Germany"
 Hotham R.," Institute of Microbiology and Infection, School of Biosciences, University of Birmingham, Birmingham, United Kingdom"
 Hotton M.," Institut de R_adaptation en D_ficience Physique de Qu_bec, Program D_ficience Auditive (Clientèle Adulte), 525 boul. Wilfrid-Hamel est, Qu_bec, QC G1M 2S, Canada"
 Houghton K.," Institute for Environmental and Technology Law, University of Trier, Campus II - Building H, 54286 Trier, Germany"
 Howley A.," Ohio University, United States"
 H_nggi J.," Center for Integrative Human Physiology, University of Zurich, Switzerland"
 Hsu J.S.-C.," Southern Taiwan University, No. 1, Nan-Tai Street, Yongkang Dist., Tainan City 710, Taiwan"
 Hu N.," Department of General Internal Medicine, Harborview Medical Center, University of Washington, Seattle, WA, United States"
 Huang J.," Universidad de Cantabria, Santander, Cantabria, Spain"
 Huang M.-C.," No. 1, Ta-Hsueh Rd., Tainan 70101, Taiwan"
 Hudelson P.," Institute of Nursing Science, University of Basel, Basel, Switzerland"
 Hudelson P.," Department of Community Medicine and Primary Care, Geneva University Hospitals, Geneva, Switzerland"
 Hudelson P.," Department of Community Medicine, Geneva University Hospitals, Geneva, Switzerland"
 Hudgins B.," Can. Deafness Res. and Train. Inst., Montreal, Que., Canada"
 Hudgins B.," Can. Deafness Res. and Train. Inst., Canada"
 Hudson-Doyle E.E.," Joint Centre for Disaster Research, School of Psychology, Massey University, Wellington, New Zealand"
 Huerta D.," Harvard College, Harvard University, Cambridge, MA, United States"
 Hughes G.," Department of Counseling, Adult and Rehabilitation Education, University of Arkansas at Little Rock, 2801 S. University, Little Rock, AR 72204, United States"
 Huiart L.," Universit_ Aix-Marseille, Laboratoire de Psychologie Sociale, Aix-en-Provence, France"
 Hum L.," Department of Clinical Education, School of Dentistry, University of Michigan, United States"
 Hupli M.," Hospital District of Southwest Finland, Turku, Finland"
 Huque M.F.," Office of Biostatistics, OTS, CDER/FDA, Silver Spring, MD 20993-0002, United States"
 Huque M.F.," Division of Biometrics IV, Office of Biostatistics, OTS, Silver Spring, MD, United States"
 Hurtig A.-K.," Norrbotten County Council, Public Health Center, LuleŒ, Sweden"
 Hurwitz K.M.," US Army Inst. of Environ. Medicine, Natick, MA, United States"
 Huynh K.K.," High Field Laboratory for Superconducting Materials, Institute for Materials Research, Tohoku University, Sendai, Japan"
 Ian Appel D.," Albert Einstein College of Medicine, Montefiore Medical Center, Bronx, NY, United States"
 Illangasekare T.H.," Center for Experimental Study of Subsurface Environmental Processes (CESEP), Environmental Science and Engineering, Colorado School of Mines, Golden, CO 80401-1887, United States"
 Imaizumi C.," Department of Public Health, University of S‹o Paulo, USP, SP, Brazil"
 Imbeau D.," ƒcole Polytechnique de Montr_al, D_partement de Math_matique et g_nie industriel, 2500, Chemin de Poly, Montr_al, Que., H3T 1J4, Canada"
 Imbeau D.," PREVICAP Occupational Rehabilitation Centre, 1111 St-Charles St.W., Longueuil, Que. J4K 5G4, Canada"
 Inui T.S.," Dept. of Ambulatory Care and Prev., Harvard Community Health Plan, Harvard Medical School, Boston, MA, United States"
 Inzunza W.B.C.," Universidad de Concepci—n, Chile"
 Ipsiroglu O.S.," SIDS-Beratungs-, Forschungs- und K., Abt. Neonatologie, Angeborene S., Univ. Klin. Kinder- J., W_hringer GŸrtel 18-20, A-1090 Wien, Austria"
 Iqbal A.," Department of Computer Science, School of Science and Engineering, LUMS, Lahore, Pakistan"
 Irfanullah," Kohat University of Science and Technology, Kohat, 26000, Pakistan"
 Itakura H.," Dept. Hlth. Res. Plcy. and of Med., United States"
 Ivanov’c M.," PUCRS, FACIN, Postgraduate Programme in Computer Science, School of Informatics Pontifical Catholic, University of Rio Grande do Sul, Porto Alegre, RS, Brazil"
 Jackson J.C.," Division of General Internal Medicine, Department of Medicine, University of Washington, Seattle, WA, United States"
 Jackson J.C.," General Internal Medicine, School of Medicine, University of Washington, Seattle, WA, United States"
 Jacobs E.A.," Collaborative Research Unit, Cook County Hospital, Rush Medical College, Chicago, IL, United States"
 Jacobs T.A.," Department of Sociology, University of Washington, Seattle, WA, United States"
 Jacobsen K.X.," Dept. of Cell. and Molec. Medicine, University of Ottawa, 451 Smythe Road, Ottawa, Ont. K1H8M5, Canada"
 Jacobsen S.J.," Department of Health Sciences Research, Mayo Clinic, Rochester, MN, United States"
 Jacobson A.F.," Formerly Employed by GE Healthcare, Kihei, HI, United States"
 Jacobson D.J.," Division of Biomedical Statistics and Informatics, Mayo Clinic, Rochester, MN, United States"
 Jaffe R.," Institute of Cultural Anthropology and Development Sociology, Leiden University, PO Box 9555, 2300 RB, Leiden, Netherlands"
 Jagannathan S.," NEC Research Institute, 4 Independence Way, Princeton, NJ, United States"
 Jain D.," Division of Cardiology, Department of Medicine, New York Medical College, Westchester Medical Center, Valhalla, NY, United States"
 Jain K.," Department of Civil Engineering, National Institute of Technology Warangal, Andhra Pradesh, India"
 Jal—n J.B.," Dpto. Traducci—n e Interpretaci—n, Universidad de Salamanca, C/ Francisco de Vitoria 6-16, E-37001 Salamanca, Spain"
 Jalil F.," Department of Social and Preventive Paediatrics, King Edward Medical College, Mayo Hospital, Lahore, Pakistan"
 Janesko K.L.," Dept. of Pharmacology and Medicine, Univ. of Pittsburgh Sch. of Medicine, Pittsburgh, PA, United States"
 Janusz W.," Department of Radiochemistry and Colloid Chemistry, Maria Curie-Sklodowska University, Pl. M.C. Sklodowskiej 3, 20-031 Lublin, Poland"
 Janz T.," Health Statistics Division, Statistics Canada, Ottawa, ON K1A 0T6, Canada"
 Jennings M.E.," The University of Texas at San Antonio, San Antonio, TX, United States"
 Jensen J.D.," Department of Communication, University of Utah, Salt Lake City, UT, USA"
 Jensen S.J.," Department of Veterinary Disease Biology, University of Copenhagen, Frederiksberg, Denmark"
 Jenssen R.," Department of Physics and Technology, University of Troms¿, Troms¿, Norway"
 Jewell S.," Medical Library, Memorial Sloan-Kettering Cancer Center, New York, NY, United States"
 Ji G.," Jiangsu Key Laboratory of 3D Printing Equipment and Manufacturing, Nanjing, Jiangsu, China"
 Jiang J.," School of International Studies, University of International Business and Economics, Beijing, China"
 Jimenez E.Y.," Department of Individual, Family, and Community Education, University of New Mexico, 101 Simpson Hall, 2502 Campus Boulevard, Albuquerque, NM 87131, United States"
 Jimenez X.," Department of Bioethics, Cleveland Clinic Foundation, Cleveland, OH, United States"
 Jin G.," State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China"
 Jin G.," State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China"
 Johansson S.-E.," Stanford Prevention Research Center, Stanford University School of Medicine, Stanford, CA, United States"
 Johnson N.," Kansas Department of Health and Environment, Topeka, KS, United States"
 Johnston T.," Department of Linguistics, Macquarie University, Sydney, NSW, Australia"
 Jones E.G.," Center for Neuroscience and Distinguished, United States"
 Jones N.D.," DIKU, University of Copenhagen, Denmark"
 Joseph S.," University of Nottingham, Nottingham, United Kingdom"
 Joukamaa M.," Social Psychiatry Unit, Tampere School of Public Health, University of Tampere, Tampere, Finland"
 Joy R.," Population Health Surveillance and Epidemiology, British Columbia Ministry of Health Services, Canada"
 Jr.," Department of Psychiatry, Newton-Wellesley Hospital/Tufts University School of Medicine, Newton, United States"
 Jr.," Laboratory for Molecular Medicine, Partners Healthcare Center for Personalized Genetic Medicine, Brigham and Woman's Hospital, Harvard Medical School, Boston, MA, United States"
 J_ncke L.," International Normal Aging and Plasticity Imaging Center (INAPIC), University of Zurich, Switzerland"
 J_rvelin M.-R.," Department of Epidemiology and Public Health, Imperial College, London, United Kingdom"
 Kagawa-Singer M.," Asian American Studies Program, California State University Fullerton, 800 North State College Blvd., Fullerton, CA 92831, United States"
 Kaghat F.," D_partement de Physique, Fac. Sci. Techniques de Mohammedia, B.P. 146, Mohammedia, Morocco"
 Kaitelidou D.," University of Athens, Center for Health Services Management and Evaluation - Department of Nursing, Athens, Greece"
 Kallay N.," School of Environmental Sciences, Nova Gorica, Slovenia"
 Kalvina R.," Faculty of Information Science and Technology, Multimedia University, Malaysia"
 Kamuyango A.A.," Faculty of Life Sciences, University of Manchester, Manchester, United Kingdom"
 Kanphade R.D.," Dhole Patil College of Engineering, Wagholi, Pune-412207, India"
 Kanterian E.," Trinity College, Oxford, United Kingdom"
 Kantoj_rvi L.," Academy of Finland, Helsinki, Finland"
 Kao Y.-C.," Department of Mechanical Engineering, National Kaohsiung University of Applied Sciences, 807, Taiwan"
 Kapelusznik L.," Harvard Medical School, Boston, United States"
 Kaplan I.," Direct Services Program, The Victorian Foundation for Survivors of Torture (VFST), Brunswick, VIC, Australia"
 Kappers A.M.L.," Helmholtz Institute, Experimental Psychology, Utrecht University, Utrecht, Netherlands"
 Kappers A.M.L.," Experimental Psychology, Helmholtz Institute, Heidelberglaan 2, 3584 CS Utrecht, Netherlands"
 Karim D.," Namidabashi Lab Co Ltd, 1-1-10 Nihonzutsumi, Tokyo, Taito-ku, Japan"
 Kashuba A.D.," University of Colorado, Denver, CO, United States"
 Katic J.," Norwegian Institute for Air Research, Kjeller, Norway"
 Katzka D.A.," Division of Gastroenterology and Hepatology, Mayo Clinic, 200 First Street, SW, Rochester, MN, United States"
 Kaviya S.," Faculty of Communications Arts, Krirk University, Bangkok 10220, Thailand"
 Kavulani C.K.," Technical University of Kenya, Kenya"
 Kawada Y.," DIKU, Department of Computer Science, University of Copenhagen, Copenhagen, Germany"
 Kawada Y.," Waseda University, School of Science and Engineering, Tokyo 169-8555, Japan"
 Kawaguchi N.," Faculty of Information Science and Technology, Aichi Prefectural University, Japan"
 Kawamura M.," Knowledge Creation Technology Co., Ltd., Japan"
 Kaye D.," School of Medicine, College of Health Sciences, Makerere University, Kampala, Uganda"
 Kayira E.," Department of Obstetrics and Gynaecology, College of Medicine, Malawi"
 Kebbell M.R.," Centre of Excellence in Policing and Security (CEPS), Australia"
 Keene D.R.," Biomarker and Drug Analysis Core Facility, Medical Research Institute, School of Medicine, University of Dundee, Dundee, United Kingdom"
 Kegl J.A.," University of Southern Maine, Portland, ME, United States"
 Keighren M.," Shriners Hospital for Children, Portland, OR, United States"
 Kelemen R.D.," Lincoln College, University of Oxford, United Kingdom"
 Kelley M.C.," Department of Pediatrics, Bioethics Division, University of Washington School of Medicine, Seattle, WA, United States"
 Kemp J.R.," Vrije Universiteit Brussel, Brussels, Belgium"
 Kempe A.," Children's Hospital Colorado, Aurora, CO, United States"
