Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations 1,geo_latitude,geo_longitude,geo_accuracy,Affiliations 2,Coordinates 2,Affiliations 3,Coordinates 3,Affiliations 4,Coordinates 4,Affiliations 5,Coordinates 5,Affiliation 6,Coordinates 6,Affiliation 7,Coordinates 7,Affiliation 8,Coordinates 8,Affiliation 9,Coordinates 9,Affiliation 10,Coordinates 10,Affiliation 11,Coordinates 11,Affiliation 12,Coordinates 12,Affiliation 13,Coordinates 13,Affiliation 14,Coordinates 14,Affiliation 15,Coordinates 15,Affiliation 16,Coordinates 16,Affiliation 17,Coordinates 17,Lat,Lng
"Dombrovski S., Bangert P.",Introduction of a new sandbox interpreter approach for advanced satellite operations and safe on-board code execution,2015,"Proceedings of the International Astronautical Congress, IAC",7,,,5063,5068,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991508197&partnerID=40&md5=5e4d5e82d0ba614cdb21717d2e0d730f,"Department of Community Health, Kwame Nkrumah University of Science and Technology, Ghana",6.6728229,-1.5684318,,"Centre for Disability Studies, Department of Community Health, Kwame Nkrumah University of Science and Technology, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6728229,-1.5684318
"Humer C., Wimmer C., Wirth C., Wöß A., Würthinger T.",A domain-specific language for building self-optimizing AST interpreters,2015,ACM SIGPLAN Notices,50,3,,123,132,,,10.1145/2658761.2658776,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950285040&doi=10.1145%2f2658761.2658776&partnerID=40&md5=e3c59df76c75bee310842f8f355681c1,"Walther Schücking Institute for International Law at the University of Kiel and ULD (Independent Centre for Privacy and Data Protection), Kiel, Schleswig-Holstein, Germany",ZERO_RESULTS,ZERO_RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS
"De Kerchove F.M., Noyé J., Südholt M.",Towards modular instrumentation of interpreters in JavaScript,2015,ACM International Conference Proceeding Series,3/1/15,,,64,69,,,10.1145/2735386.2736753,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940523680&doi=10.1145%2f2735386.2736753&partnerID=40&md5=421505dd141ec586206fe5d24188b415,"Advanced Speech Translation Research and Development Promotion Center, Advanced Translation Technology Laboratory, National Institute of Information and Communications Technology, Kyoto, Japan",ZERO_RESULTS,ZERO_RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS
"Turley C., Alessandra Montironi M.",Programming arduino boards with the C/C++ interpreter CH,2015,Proceedings of the ASME Design Engineering Technical Conference,9,,,,,,,10.1115/DETC2015-47837,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978971808&doi=10.1115%2fDETC2015-47837&partnerID=40&md5=2ba807241defd51375a2d3adff978d21,"Partnachplatz 7, München, Germany",48.1179774,11.5271177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1179774,11.5271177
Gheusi J.,The interpreters of creation [Les interprètes de la création],2015,Avant Scene Opera,,288,,73,75,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945157652&partnerID=40&md5=64dfa4d15c24f722463543f6dd4e7a71,"University Wuerzburg, Germany",49.7830083,9.9708462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7830083,9.9708462
Liebembuk S.,The interpreter made visible: The politics of translation across the panamerican ROUTES/RUTAS panamericanas festival,2015,Canadian Theatre Review,161,1,,26,30,,,10.3138/ctr.161.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923217951&doi=10.3138%2fctr.161.005&partnerID=40&md5=c55da8eccbaddf820783e87bc73473ae,"Institute for System Software, Johannes Kepler University Linz, Austria",ZERO_RESULTS,ZERO_RESULTS,,"Oracle Labs, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS
"Grant W.M., Spencer M.K.","Activity, identity, and god: A tension in aquinas and his interpreters",2015,Studia Neoaristotelica,12,2,,5,61,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970021261&partnerID=40&md5=eb2536d1930f808ad8d2859c0b360c81,"ASCOLA Team (Mines Nantes, Inria, LINA), École des Mines de Nantes, Nantes, France",ZERO_RESULTS,ZERO_RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS
"Jaccard C., Chateau D.",Dialogue of the pyronaut with his interpreter [Dialogue du pyronaute avec son interprète],2015,Cahiers du Musee National d'Art Moderne,,133,,91,100,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949674000&partnerID=40&md5=16b8044e0fd316e7ba454d61f0496d20,"Integration Engineering Laboratory, Department of Mechanical and Aerospace Engineering, University of California, Davis, CA, United States",38.5373722,-121.7535696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5373722,-121.7535696
"Karnik S.S., Unal H., Kemp J.R., Tirupula K.C., Eguchi S., Vanderheyden P.M.L., Thomas W.G.",Angiotensin receptors: Interpreters of pathophysiological angiotensinergic stimulis,2015,Pharmacological Reviews,67,4,,754,819,,15,10.1124/pr.114.010454,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942014315&doi=10.1124%2fpr.114.010454&partnerID=40&md5=f229fa6530da95adb952afb3b3011945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morillo M., Dell'Era C., Verganti R.",Exploring the role of outsider interpreters in the development of design-driven innovations,2015,International Journal of Technology Intelligence and Planning,10,3/4/17,,222,253,,1,10.1504/IJTIP.2015.070849,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938698872&doi=10.1504%2fIJTIP.2015.070849&partnerID=40&md5=bbe54b51626080bdac3808f6188d3f14,"University of Torontos Centre for Drama, Canada",43.6633797,-79.3974545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6633797,-79.3974545
Gerolin A.,"Morality as ""most peculiar institution""? Charles Taylor as interpreter of Bernard Williams [La morale come 'most peculiar institution'? Charles taylor interprete di bernard williams]",2015,Rivista di Filosofia Neo-Scolastica,,3,,645,666,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952360069&partnerID=40&md5=13af446d0af1ab271530ee6c6d4bd471,"Department of Philosophy, University of St. Thomas, St. Paul, MN, United States",44.941751,-93.1914909,,"American Catholic Philosophical Quarterly, JRC 240, 2115 Summit Ave., St. Paul, MN, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.941751,-93.1914909
May T.,Interpreting the contrasting affects of wood-cutting on dry forest vegetation in the Dominican Republic-Haiti border area [Effets contrastés des prélèvements de bois sur la végétation de forêt sèche en zone frontalière dominico-haïtienne: Comment les interpréter?],2015,Bois et Forets des Tropiques,,326,,3,13,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958754504&partnerID=40&md5=f25fbba2dd25930729b7ab5c6e2d3f4f,"IUniversité de Parts 1 Panthéon-Sorbonne, France",48.8469373,2.344468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8469373,2.344468
"Zhu T., Khajepour A., Goodarzi A., Chen S.-K., Litkouhi B.",Development of an optimal driver command interpreter for vehicle dynamics control,2015,International Journal of Vehicle Autonomous Systems,13,1,,43,64,,,10.1504/IJVAS.2015.070731,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938091714&doi=10.1504%2fIJVAS.2015.070731&partnerID=40&md5=e34866ef38f4a309400a6ae0898f1137,"Department of Molecular Cardiology, Lerner Research Institute of Cleveland Clinic, Cleveland, OH, United States",41.5015196,-81.6208044,,"Cardiovascular Research Center, Temple University School of Medicine, Philadelphia, PA, United States",,"Vrije Universiteit Brussel, Brussels, Belgium",,"Department of General Physiology, School of Biomedical Sciences, The University of Queensland, Brisbane, QLD, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5015196,-81.6208044
"Mozaffari A., Behzadipour S.",A modular extreme learning machine with linguistic interpreter and accelerated chaotic distributor for evaluating the safety of robot maneuvers in laparoscopic surgery,2015,Neurocomputing,151,P2,,913,932,,3,10.1016/j.neucom.2014.10.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919473580&doi=10.1016%2fj.neucom.2014.10.003&partnerID=40&md5=9955b7d0ef4dc288810d85875b954b74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[No author name available],Britain and Europe: The interpreter,2015,Economist (United Kingdom),411,8934,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945412528&partnerID=40&md5=bb946efe4801494c686a83d176dd14b6,"Politecnico di Milano, Building 26/B, Via Lambruschini, 4B, Milano, Italy",45.5032374,9.1550251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5032374,9.1550251
"Christoffersen B.Ø., Jensen S.J., Ludvigsen T.P., Nilsson S.K., Grossi A.B., Heegaard P.M.H.",Age- and sex-associated effects on acute-phase proteins in Göttingen Minipigs,2015,Comparative Medicine,65,4,,333,341,,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941091132&partnerID=40&md5=7daf16046b2605d6a01ef18d0ed4b30d,"Università Cattolica del Sacro Cuore, Milano, Italy",45.4621325,9.1771785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4621325,9.1771785
"Santolino M., Söderberg M.",Modelling appellate courts’ responses in motor injury disputes,2014,European Journal of Law and Economics,38,3,,393,407,,,10.1007/s10657-012-9362-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926639799&doi=10.1007%2fs10657-012-9362-z&partnerID=40&md5=183a287de56b0118e3a292bc896caa19,"Universidad Estatal Amazónica (UEA), Via a Napo km 2 1/2, Paso Lateral, Puyo, Pastaza, Ecuador",-1.4689575,-77.9959949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4689575,-77.9959949
"Federici F.M., Tessicini D.","Translators, interpreters, and cultural negotiators: Mediating and communicating power from the middle ages to the modern era",2014,"Translators, Interpreters, and Cultural Negotiators: Mediating and Communicating Power from the Middle Ages to the Modern Era",,,,1,254,,,10.1057/9781137400048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997190942&doi=10.1057%2f9781137400048&partnerID=40&md5=cfa9eee2835689217fca58f7fef842c8,"Department of Vehicle Engineering, Hebei University of Engineering, Hebei, China",ZERO_RESULTS,ZERO_RESULTS,,"Department of Mechanical and Mechatronics Engineering, University of WaterlooON, Canada",,"General Motors Company, Global Research and Development, Warren, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS
Chang P.-L.,The political and diplomatic significance of interpreters/translators in seventeenth-century colonial Taiwan,2014,"Translators, Interpreters, and Cultural Negotiators: Mediating and Communicating Power from the Middle Ages to the Modern Era",,,,136,154,,,10.1057/9781137400048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997120398&doi=10.1057%2f9781137400048&partnerID=40&md5=7e5121035e42b3555ffcbbae7e4948c0,"Sharif University of Technology, Azadi Street, Tehran, Iran",35.7036366,51.351593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7036366,51.351593
Spoturno M.L.,Revisiting malinche: A study of her role as an interpreter,2014,"Translators, Interpreters, and Cultural Negotiators: Mediating and Communicating Power from the Middle Ages to the Modern Era",,,,121,135,,,10.1057/9781137400048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997419164&doi=10.1057%2f9781137400048&partnerID=40&md5=eb64d66aa0240cab6e631aa4732ad780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valero-Garcés C.,Cross-fertilization of training and research in a master's program in public service interpreting and translation: Some challenges and results,2014,Handbook of Research on Teaching Methods in Language Translation and Interpretation,,,,397,415,,,10.4018/978-1-4666-6615-3.ch021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960222619&doi=10.4018%2f978-1-4666-6615-3.ch021&partnerID=40&md5=7c33ba867c63c87ab565095bd9ae41ee,"Global Research, Novo Nordisk A/S, Copenhagen, Denmark",55.735582,12.4782663,,"Department of Veterinary Disease Biology, University of Copenhagen, Frederiksberg, Denmark",,"Ellegaard Göttingen Minipigs A/S, Dalmose, Denmark",,"Innate Immunology Group, National Veterinary Institute, Technical University of Denmark, Lyngby, Denmark",,"Växa Sverige, Flen, Sweden",,,,,,,,,,,,,,,,,,,,,,,,,,55.735582,12.4782663
Fengxia J.,Evaluating emotional stability as a predictor of Chinese MTI students' interpreter aptitude,2014,Handbook of Research on Teaching Methods in Language Translation and Interpretation,,,,362,376,,,10.4018/978-1-4666-6615-3.ch019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960255336&doi=10.4018%2f978-1-4666-6615-3.ch019&partnerID=40&md5=5aaaf0d05e599b69820b539cfe72320c,"Department of Econometrics, Riskcenter-IREA, University of Barcelona, Avda. Diagonal, 690, Barcelona, Spain",41.386608,2.16402,,"CERNA, Mines ParisTech, 60 Boulevard St. Michel, Paris, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.386608,2.16402
Ho G.,Adapting translator and interpreter training to the job market,2014,Handbook of Research on Teaching Methods in Language Translation and Interpretation,,,,377,396,,,10.4018/978-1-4666-6615-3.ch020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960200205&doi=10.4018%2f978-1-4666-6615-3.ch020&partnerID=40&md5=bebe25b0475a87a29d800b5aced38c66,"Centre for Translation Studies, University College London, United Kingdom",51.5245592,-0.1340401,,"Durham University, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5245592,-0.1340401
Hansen T.B.,On anthropologists and other cultural interpreters,2014,Anthropology Now and Next: Essays in Honor of Ulf Hannerz,,,,111,130,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918914620&partnerID=40&md5=a3ab3918bcace636bc3ce7a6de1cbe20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brougher C.,FREE exercise of religion by secular organizations and their owners: Implications for the affordable care act (ACA),2014,The Affordable Care Act: Analyses of Emergent Issues and Topics,,,,61,89,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952779307&partnerID=40&md5=a316b616b29d9cabceb744f0caed6efa,"Department of Applied Linguistics and Language Studies, Chung Yuan Christian University, Taoyuan, Taiwan",ZERO_RESULTS,ZERO_RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS
"Phinney A., Moody E.M., Small J.A.",The effect of a community-engaged arts program on older adults' well-being,2014,Canadian Journal on Aging,33,3,,336,345,,,10.1017/S071498081400018X,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905545083&doi=10.1017%2fS071498081400018X&partnerID=40&md5=8fdd55d4b3bfaebae88730640c549702,"Universidad Nacional de La Plata, Argentina",-34.9001314,-57.9316304,,"Consejo Nacional de Investigaciones Científicas y Técnicas, Instituto de Investigaciones en Humanidades y Ciencias Sociales, Argentina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.9001314,-57.9316304
Nakane I.,Interpreter-mediated Police Interviews: A Discourse-Pragmatic Approach,2014,Interpreter-mediated Police Interviews: A Discourse-Pragmatic Approach,,,,1,235,,2,10.1057/9781137443199,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991723599&doi=10.1057%2f9781137443199&partnerID=40&md5=162d15ba4d2571bc95c7c5e0e23b80ee,"University of Alcalá, Madrid, Spain",40.4824722,-3.3628674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4824722,-3.3628674
Bezhan F.,"Tarjoman or interpreter, the first satirical newspaper and the emergence of modern satire in Afghanistan",2014,Media History,20,3,,302,321,,1,10.1080/13688804.2014.920208,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904758900&doi=10.1080%2f13688804.2014.920208&partnerID=40&md5=0b212e87cd935937528ee90d11768e96,"Graduate School of Translation and Interpretation, Beijing Foreign Studies University, China",39.9556409,116.3130433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9556409,116.3130433
Li X.,"Sight translation as a topic in interpreting research: Progress, problems, and prospects",2014,Across Languages and Cultures,15,1,,67,89,,1,10.1556/Acr.15.2014.1.4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902142202&doi=10.1556%2fAcr.15.2014.1.4&partnerID=40&md5=5119b25bcf1f894a27527f7046d675fe,"Department of Translation and Interpreting, Graduate Institute of Multilingual Translation and Interpreting (GIMTI), Wenzao Ursuline University of Languages, Kaohsiung, Taiwan",ZERO_RESULTS,ZERO_RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS
"Mezei K., Simon S., Von Flotow L.",Translation Effects: The Shaping of Modern Canadian Culture,2014,Translation Effects: The Shaping of Modern Canadian Culture,,,,1,478,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920190232&partnerID=40&md5=271e1414baf4084fc1795af89bd45f2f,"Stanford University, United States",37.4274745,-122.169719,,"Center for South Asia, Stanford, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4274745,-122.169719
De La Puente Luna J.C.,The many tongues of the king: Indigenous language interpreters and the making of the spanish empire,2014,Colonial Latin American Review,23,2,,143,170,,6,10.1080/10609164.2014.917545,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903315602&doi=10.1080%2f10609164.2014.917545&partnerID=40&md5=8dbdbb78d2d969e8bc5f5c6fb482e40b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bose D.,Defining and analyzing disability in human enhancement,2014,Global Issues and Ethical Considerations in Human Enhancement Technologies,,,,191,202,,,10.4018/978-1-4666-6010-6.ch011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946116515&doi=10.4018%2f978-1-4666-6010-6.ch011&partnerID=40&md5=e33383d2e16621563f476063e5f21c41,"University of British Columbia, School of Nursing, T201 2211 Wesbrook Mall, Vancouver, BC, Canada",49.2606052,-123.2459939,,"University of British Columbia, School of Audiology and Speech Sciences, Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2606052,-123.2459939
Wills P.R.,"Genetic Information, Physical Interpreters and Thermodynamics; The Material-Informatic Basis of Biosemiosis",2014,Biosemiotics,7,1,,141,165,,4,10.1007/s12304-013-9196-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898728020&doi=10.1007%2fs12304-013-9196-2&partnerID=40&md5=12d736f06f1dc10639999341cc7bed38,"Asia Institute, University of Melbourne, Australia",-37.7989329,144.9639453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37.7989329,144.9639453
"Khalifa M.A., Jennings M.E., Briscoe F., Oleszweski A.M., Abdi N.",Racism? Administrative and Community Perspectives in Data-Driven Decision Making: Systemic Perspectives Versus Technical-Rational Perspectives,2014,Urban Education,49,2,,147,181,,11,10.1177/0042085913475635,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885148271&doi=10.1177%2f0042085913475635&partnerID=40&md5=1ae84877ba9251650e79b8d6d73b0277,"Monash Asia Institute, Monash University, 900 Dandenong Road, Caulfield East, VIC 3145, Australia",-37.8764873,145.0454251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37.8764873,145.0454251
"Donovan C., O'Brien D.","Governing culture: Legislators, interpreters and accountants",2014,Critical Perspectives on Accounting,37,,,24,34,,,10.1016/j.cpa.2015.10.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950294086&doi=10.1016%2fj.cpa.2015.10.003&partnerID=40&md5=d9136600d6581b0aa759aafa8906d801,"XiAn International Studies University xiAn, Shaanxi 710128, China",34.1379281,108.8751134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1379281,108.8751134
"Strecker U., De Newton P.V., Smith M.",From qualitative to quantitative interpretation: An interpreter's guide to fluid prediction in Pliocene to Turonian deepwater turbidites from West Africa to Asia Pacific,2014,Interpretation,2,1,,SA127,SA140,,,10.1190/INT-2013-0106.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960502013&doi=10.1190%2fINT-2013-0106.1&partnerID=40&md5=2b43376190a5282d7a50cbac58ae8d13,"Department of Humanities, Simon Fraser University, Canada",49.2780937,-122.9198833,,"Clare Hall, Cambridge, United Kingdom",,"French Department, Concordia University, Canada",,"Royal Society of Canada, Académie des lettres du Québec, Canada",,"School of Translation and Interpretation, University of Ottawa, Canada",,,,,,,,,,,,,,,,,,,,,,,,,,49.2780937,-122.9198833
Güven M.,Distance learning as an effective tool for medical interpreting training in Turkey,2014,Open Learning,29,2,,116,130,,2,10.1080/02680513.2014.964196,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920002799&doi=10.1080%2f02680513.2014.964196&partnerID=40&md5=23c4a7a89a9b3dfd19eef9bbc0b7c52e,"Texas State University, United States",29.888411,-97.938351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.888411,-97.938351
Rahel K.O.,Why the sixth amendment right to counsel includes an out-of-court interpreter,2014,Iowa Law Review,99,5,,2299,2333,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916613250&partnerID=40&md5=cf3edefa0abc6d25432ab9cf86f8ea64,"Department of English, Iowa State University, United States",42.0266071,-93.6441861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0266071,-93.6441861
Albl-Mikasa M.,The imaginary invalid. Conference interpreters and English as a lingua franca,2014,International Journal of Applied Linguistics (United Kingdom),24,3,,293,311,,,10.1111/ijal.12076,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911990980&doi=10.1111%2fijal.12076&partnerID=40&md5=ef59421030baece60de5ea02e4ccd50c,"Integrative Transkriptomik, Zentrum für Bioinformatik Tübingen, Wilhelm-Schickard-Institut für Informatik, Universität Tübingen, Sand 14, Tübingen, 72076, Germany",ZERO_RESULTS,ZERO_RESULTS,,"Department of Physics, The University of Auckland, Private Bag 92019, Auckland, 1142, New Zealand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS
Baxter R.N.,A simplified multi-model approach to preparatory training in simultaneous interpreting,2014,Perspectives: Studies in Translatology,22,3,,349,372,,,10.1080/0907676X.2012.758751,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901694459&doi=10.1080%2f0907676X.2012.758751&partnerID=40&md5=449418257d2c488776ac01765aae1a0a,"Michigan State University, East Lansing, MI, United States",42.701848,-84.4821719,,"The University of Texas at San Antonio, San Antonio, TX, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.701848,-84.4821719
Velázquez O.F.M.,"A proposal for the inclusion of the parameter ""booth manners"" in quality assessment in simultaneous conference interpreting [Una propuesta para la inclusión del parámetro protocolo de cabina en la evaluación de la calidad de la interpretación simultánea de conferencia]",2014,Sendebar,25,,,287,318,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938344029&partnerID=40&md5=3dd2f71e96cad0fc7ba6472fcfa9a622,"Health Economics Research Group, Brunel University, Uxbridge, Middlesex, United Kingdom",ZERO_RESULTS,ZERO_RESULTS,,"Institute for Creative and Cultural Entrepreneurship, University of London, Goldsmiths, New Cross, London, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS
"Ilie L., Pérez A.J., Vitalaru B.","Conduct of the medical interpreter-mediator in instances of problematic communication and cultural conflict: Analysis and comparison of trained and untrained interpreters in several language pairs (Spanish-Arabic, Spanish-French, Spanish-English, and Spanish-Romanian) [Actuación del intérprete-mediador en el ámbito sanitario en situaciones comunicativas problemáticas y conflictos culturales: Análisis y comparación entre intérpretes con y sin formación en diferentes pares de lenguas (español > árabe, francés, inglés y rumano)]",2014,Panacea,15,40,,218,234,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921504015&partnerID=40&md5=239fe6750e4305c9c3b9d3482a8657d1,"Rock Solid Images, Houston, TX, United States",29.7385293,-95.5392766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7385293,-95.5392766
Hale S.,Interpreting culture. Dealing with cross-cultural issues in court interpreting,2014,Perspectives: Studies in Translatology,22,3,,321,331,,3,10.1080/0907676X.2013.827226,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901696809&doi=10.1080%2f0907676X.2013.827226&partnerID=40&md5=c3c86e88d4b27db3a662ec1bc84dba9b,"Department of Translation and Interpreting (English), Beykent University, Istanbul, Turkey",41.1169852,29.0038352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1169852,29.0038352
McKee R.,Breaking news: Sign language interpreters on television during natural disasters,2014,Interpreting,16,1,,107,130,,,10.1075/intp.16.1.06kee,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905257549&doi=10.1075%2fintp.16.1.06kee&partnerID=40&md5=0f079afda113a33d7a587fa45ce2a008,"University of Iowa College of Law, United States",41.657439,-91.5428069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.657439,-91.5428069
"Yáñez G.G.C., Inzunza W.B.C.",Deverbalization and gramatical structure in simultaneous interpreting [Desverbalización y estructuras sintácticas en interpretación simultánea],2014,Onomazein,29,1,,1,10,,,10.7764/onomazein.29.7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906655214&doi=10.7764%2fonomazein.29.7&partnerID=40&md5=f6aa7a3dda89ec2fbcc634ab45628aad,"ZHAW Zurich University of Applied Sciences, Institute of Translation and Interpreting, Switzerland",47.4972243,8.7293764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4972243,8.7293764
"Brueck P., Rode J., Hessmann J., Meinicke B., Unruh D.",Diagnosing healthcare assignments:A year of medical interpreting for deaf people in Austria and Germany,2014,Investigations in Healthcare Interpreting,,,,128,184,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949266697&partnerID=40&md5=7488e702b3109457553b4bc6ae4c70cd,"Tradución e Lingüística, Universidade de Vigo, Vigo, Spain",42.1694456,-8.6833929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1694456,-8.6833929
"Schwenke T.J., Ashby J.S., Gnilka P.B.","Sign language interpreters and burnout The effects of perfectionism, perceived stress, and coping resources",2014,Interpreting,16,2,,209,232,,2,10.1075/intp.16.2.04sch,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929178636&doi=10.1075%2fintp.16.2.04sch&partnerID=40&md5=a995a3fe3f1c686aa7591b96a21f7d50,"Instituto Superior de Intérpretes y Traductores, México, D.F., Mexico",19.4320846,-99.16527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4320846,-99.16527
"Timarova _., ?enkova I., Meylaerts R., Hertog E., Szmalec A., Duyck W.",Simultaneous interpreting and working memory executive control,2014,Interpreting,16,2,,139,168,,3,10.1075/intp.16.2.01tim,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929150726&doi=10.1075%2fintp.16.2.01tim&partnerID=40&md5=881c83ee677dac75ee77e36fab31a67c,"Traductora e Intérprete Inglés-Rumano-Español, Madrid, Spain",ZERO_RESULTS,ZERO_RESULTS,,"Traductora e Intérprete Francés-Español, Madrid, Spain",,"Universidad de Alcalá de Henares, Madrid, Spain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS
